Inject ID,Deck ID,Card Title,Card Wording,Back Url,Background Url,Art Url
11,11, Sandy Breaches, It is determined that hackers used “island hopping” techniques to steal proprietary organizational data and private customer data related to the AI system in question. Island hopping is when cyber attackers target weakly protected partner networks to infiltrate a target business.,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
12,12,Public Enemy #1, Powerful activist groups are protesting any further development of your organization's AI enabled products.  Org culture and ethics are being questioned.,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
14,13,Saturday Night Massacre, Your entire ethics board resigns in protest.,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
16,14,Margin Call,Short sellers now outnumber normal investors in your company and your employees are threatening to walk out if you do not release them from their ordinary stock option vesting schedule or resolve this incident promptly.,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
17,15, Diagnosis Overruns​,Your most technically competent group of engineers cannot determine the root cause of this incident and are requesting significantly more time and money to resolve.​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
18,16,Shocker!, Your local electric utility experiences a major outage coincident with your initial resolution effort.​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
19,17,Gag Order,"As you begin to inquire into the root causes of this incident, two separate technology suppliers/third party vendors inform you that your organization signed a non-disclosure agreement governing the technology under review.",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
20,18,Accounting Restatement,"Moments before you were due to adjourn your most recent incident response meeting, your Chief Financial Officer rushes in to announce that your organization's past three years of financial statements have to be restated as a result of this incident.​",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
21,19,Like A Good Neighbor...,Your organization's primary risk insurer calls to inform you that your coverage has lapsed a long time ago.,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
22,20,You're On Your Own,"Amidst mounting bad press, the last living founder of your organization publicly dissociates themself from you as an institution and calls for incumbent leadership to be removed immediately.​",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
23,21,Logs? Timber!​,"While analyzing the system logs for your primary data center, you find the majority of the entries around the time of the incident have vanished.​",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
24,22,You Got Claudia Conwayed​,Your eldest daughter begins filming and posting to social media videos of you at home that capture you discussing the incident with a spouse in an unguarded moment.​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
25,23, With Friends Like These...​,A partner organization publishes its own independent analysis of the situation showing your organization to be more at fault than anyone initially realized.​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
27,24,sMudge,A former exec turned whistleblower's testimony has revealed that your company has flimsy data security and privacy practices and is generally unaware of how to properly store and protect proprietary data.,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
28,25, A Chief Concern​,Your Chief Information Security Officer is convicted of federal charges for covering up a data breach involving millions of data records.​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
29,26,Sticks and Stones,Your competitors are using this mishap to malign the overall quality of all your products in the press and on social media.,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
30,27,Fire Festival,A raging fire in one of your data warehouses destroys a majority of your expensive proprietary data that was used to create and test the AI system in question.  There are no backups.,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
31,28,It's Contagious,"This incident erodes customer trust in a number of your other products resulting in cancelled orders, decreased user, significant decline in monthly revenue.​",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
32,29,Commercial Interruption,"Media outlets online, in print, and over the air are pulling your advertisements out of rotation. Celebrity spokespeople and endorsers are distancing themselves from your company. Sales have dropped significantly.​",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
33,30,Need to Know Basis,Employees infuriated about the lack of transparency within your organization about this mishap and subsequent actions taken.  Most of them learned about this incident either online or from outside contacts and are in the dark about what is going on to resolve.​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
34,31,Warning Label,US Government regulators have caught wind of this incident and have deemed your AI system as unsafe and/or ineffective for use by US Citizens at home and abroad.​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
35,32,It Is Actually Better to Ask for Permission…​,"Outside digital forensics team assisting with resolving this incident has determined that the AI system at hand was developed using data that was collected secretly, and without consent or permission.​",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
36,33,(Don’t) Contact Us,"Pranksters have hacked your company’s customer support chatbot to speak ill of your products, start recommending competitor products and into randomly issuing refunds.",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
37,34,Audit Season,One of your major vendors has informed you that they will be conducting an audit of your software licenses with them. This will pull critical engineering and managerial resources away from responding to the current incident.​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
38,35,Chain Winds!,"An advanced hacking group, targeting another organization, has implemented a back door into your CI/CD pipeline. This is now allowing unrelated malicious actors unfettered access to development builds of your models and tooling.​",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
39,36, Committed…. to Excellence!​,The strain of this incident has led to your CTO being involuntarily committed to psychiatric care for a minimum of 72 hours.​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
40,37, Got to admit it's getting better… A little better all the time​,Your data science team successfully determines the root cause of the problem and patches the AI system such that this never happens again!  The court of public opinion rejoices and quickly forgets this ever happened.  Draw next Incident!​,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
41,38,Three's A Crowd!,Third-party software found to be at fault and a judge dismisses all claims against your company arising from this Incident.  Draw next Incident!,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
42,39, Working Ensemble​,"Your data science team discovers that the bias in one of your newer models cancels out the bias of your older, more widely used model, resulting in a well-balanced ensemble. Draw next Incident!",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
43,40,Open Source Bat Signal,Open Source community takes notice and makes massive improvements to the underlying AI system and corrects the problems associated with this Incident.  Draw next Incident!,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
